Alacrity	n	eagerness or willingness to do something	The first three weeks at his new job, Mark worked with such * that upper management knew they would be giving him a promotion.
Prosaic	adj	dull or lacking imagination	Unlike the talented artists in his workshop, Paul had no such bent for the visual medium, so when it was time for him to make a stained glass painting, he ended up with a * mosaic. 
Veracity	n	truthful	After years of political scandals, the congressman was hardly known for his *; yet despite this distrust, he was voted into yet another term.
Paucity	n	lack of something	There is a * of jobs hiring today that require menial skills, since most jobs have either been automated or outsourced.
Maintain	v	to assert	The scientist *ed that the extinction of dinosaurs was most likely brought about by a drastic change in climate.
Contrite	adj	remorseful	Though he stole his little sister’s licorice stick with malevolent glee, Chucky soon became * when his sister wouldn’t stop crying. 
Laconic	adj	of few words	While Martha always swooned over the hunky, * types in romantic comedies, her boyfriends inevitably were very talkative – and not very hunky.
Pugnacious	adj	verbally combative	The comedian told one flat joke after another, and when the audience started booing, he *ly spat back at them, “Hey, you think this is easy –why don’t you buffoons give it a shot?”
Disparate	adj	completely different	With the advent of machines capable of looking inside the brain, fields as * as religion and biology have been brought together, as scientists try to understand what happens in the brain when people have a religious experience. 
Egregious	adj	outstandingly bad or shocking	The dictator’s abuse of human rights was so * that many world leaders asked that he be tried in an international court for genocide. 
Innocuous	adj	harmless	Everyone found Nancy’s banter innocuous – except Mike, who felt like she was intentionally picking on him.
Candid	adj	honest or straightforward	Even with a perfect stranger,Charles was always * and would rarely hold anything back.
Erratic	adj	unpredictable	It came as no surprise to pundits that the President’s attempt at re-election floundered; even during his term, support for his policies was *, with an approval rating jumping anywhere from 30 to 60 percent.
Bleak	adj	hopeless or exposed	Unremitting overcast skies tend to lead people to create * literature and lugubrious music—compare England’s band Radiohead to any band from Southern California.
Profuse	adj	plentiful or abundant	During mile 20 of the Hawaii Marathon, Dwayne was sweating so *ly that he stopped to take off his shirt, and ran the remaining six miles clad in nothing more than skimpy shorts.
Extant	adj	still in existence or surviving	Despite many bookstores closing, experts predict that some form of book dealing will still be * generations from now.
Contentious	adj	controversial	Since old grandpa Harry became very * during the summer when only reruns were on T.V., the grandkids learned to hide from him at every opportunity. 
Auspicious	adj	favorable or conducive to success	Despite an * beginning, Mike’s road trip became a series of mishaps, and he was soon stranded and penniless, leaning agains this wrecked automobile.
Enervate	v	weaken or cause (someone) to feel drained of energy or vitality	John preferred to avoid equatorial countries; the intense sun would always leave him *ed after he’d spent the day sightseeing.
Equivocate	v	to speak vaguely, usually with the intention to mislead or deceive	After spending hours talking with Cameron, he often tries to *; the result is that people become unsure of what the hell he is talking about.
Ambivalent	adj	to have mixed or complicated feelings	Sam was * about studying for the GRE because it ate up a lot of time during quarantine, no matter what score he got.
Sedulous	adj	showing dedication and diligence	Sam was * about his time spent working on Swing Arizona, studying for the GRE...not so much.
